,index,주소,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,승차승객합,하차승객합,lat,lng
151,414,서울특별시 구로구 신도림동,7388,13170,2845,7113,10233,20283,37.5077345,126.8805914
152,415,서울특별시 구로구 오류1동,3818,8091,2171,4611,5989,12702,37.4967632,126.8450681
153,416,서울특별시 구로구 오류2동,2411,8045,1208,4843,3619,12888,37.4887641,126.8395129
154,417,서울특별시 구로구 오류동,6269,4308,3584,2624,9853,6932,37.4901258,126.8385254
155,418,서울특별시 구로구 온수동,9043,3483,5384,1858,14427,5341,37.4939934,126.8206441
156,419,서울특별시 구로구 천왕동,2527,2249,1165,1350,3692,3599,37.4803813,126.8415075
157,420,서울특별시 구로구 항동,976,4540,382,2811,1358,7351,37.481088,126.8250625
158,421,서울특별시 금천구 가산동,30066,22658,14479,13445,44545,36103,37.4758795,126.8838298
159,422,서울특별시 금천구 독산1동,11622,18668,5937,11439,17559,30107,37.4700734,126.8969528
160,423,서울특별시 금천구 독산2동,3233,6567,1793,4358,5026,10925,37.4659619,126.8997027
161,424,서울특별시 금천구 독산3동,15976,17930,9304,10498,25280,28428,37.4765728,126.9080626
162,425,서울특별시 금천구 독산4동,7784,9531,3869,5758,11653,15289,37.4676288,126.9020634
163,426,서울특별시 금천구 독산동,6124,14830,2901,9039,9025,23869,37.4681147,126.8981937
164,427,서울특별시 금천구 시흥1동,20596,20201,10791,11914,31387,32115,37.4535195,126.9031187
165,428,서울특별시 금천구 시흥2동,3591,13810,1781,9565,5372,23375,37.4501312,126.9165345
166,429,서울특별시 금천구 시흥3동,1062,3525,488,1870,1550,5395,37.4402712,126.9057858
167,430,서울특별시 금천구 시흥4동,974,5381,565,3412,1539,8793,37.4589629,126.9060902
168,431,서울특별시 금천구 시흥5동,4837,11026,2074,7405,6911,18431,37.4492857,126.9104662
169,432,서울특별시 금천구 시흥동,6386,11743,3625,6968,10011,18711,37.4492857,126.9104662
170,433,서울특별시 노원구 공릉1동,5560,6075,3466,3142,9026,9217,37.6248346,127.0737922
171,434,서울특별시 노원구 공릉2동,5788,9130,3476,5043,9264,14173,37.6211412,127.0832634
172,435,서울특별시 노원구 공릉동,10672,13363,6137,7673,16809,21036,37.6304778,127.0901988
173,436,서울특별시 노원구 상계10동,1812,1227,1327,763,3139,1990,37.66121890000001,127.0601815
174,437,서울특별시 노원구 상계1동,1766,5071,962,2994,2728,8065,37.6796616,127.0549865
175,438,서울특별시 노원구 상계2동,6395,2174,4136,1514,10531,3688,37.6587754,127.0684857
176,439,서울특별시 노원구 상계3.4동,837,2789,334,1631,1171,4420,37.66377490000001,127.0753459
177,440,서울특별시 노원구 상계5동,1474,4436,561,2924,2035,7360,37.6628859,127.0693465
178,441,서울특별시 노원구 상계6.7동,1829,1159,753,613,2582,1772,37.6530259,127.0581539
179,442,서울특별시 노원구 상계9동,527,2860,207,1801,734,4661,37.6644966,127.063792
180,443,서울특별시 노원구 상계동,49369,33560,27158,18428,76527,51988,37.67480279999999,127.0730618
181,444,서울특별시 노원구 월계1동,1064,3069,703,2180,1767,5249,37.61983499999999,127.0629324
182,445,서울특별시 노원구 월계2동,1591,1637,782,1087,2373,2724,37.6324443,127.0507382
183,446,서울특별시 노원구 월계3동,3422,4740,1507,2693,4929,7433,37.620919,127.0692367
184,447,서울특별시 노원구 월계동,15406,21727,10211,13758,25617,35485,37.6277451,127.0568215
185,448,서울특별시 노원구 중계1동,2511,1900,676,1264,3187,3164,37.6525543,127.077485
186,449,서울특별시 노원구 중계2.3동,137,247,67,136,204,383,37.6406105,127.0651536
187,450,서울특별시 노원구 중계동,35838,35606,15300,18866,51138,54472,37.6514398,127.0831273
188,451,서울특별시 노원구 중계본동,10030,4063,1944,2733,11974,6796,37.6477769,127.0802349
