,Unnamed: 0,Unnamed: 0.1,NODE_ID,ARS-ID,정류소명,좌표X,좌표Y,좌표
8419,8419,8419,119900213,20955,동아아파트,126.9401730365,37.4963774646,"종인아네스트아파트, 양녕로23길, 상도4동, 동작구, 서울, 07044, 대한민국"
8420,8420,8420,119900212,20956,행복유치원,126.9412583831,37.4957646769,"행복유치원, 양녕로23길, 상도4동, 동작구, 서울, 08714, 대한민국"
8421,8421,8421,119900211,20957,동아아파트,126.9401254832,37.496561395,"종인아네스트아파트, 양녕로23길, 상도4동, 동작구, 서울, 07044, 대한민국"
8422,8422,8422,119900210,20958,보문사,126.938546524,37.4962266392,"양녕로23길, 상도4동, 동작구, 서울, 07044, 대한민국"
8423,8423,8423,119900209,20959,사당1동주민센터입구,126.978690827,37.4841820903,"사당1동주민센터입구, 사당로, 사당1동, 동작구, 서울, 06677, 대한민국"
8424,8424,8424,119900208,20960,노들역5번출구앞,126.952645,37.51259,"노량진로, 노량진1동, 동작구, 서울, 06969, 대한민국"
8425,8425,8425,119000300,20962,한강대교남단(가상),126.9555140017,37.5143502352,"올림픽대로, 흑석동, 비계, 동작구, 서울, 06981, 대한민국"
8426,8426,8426,119000299,20963,한강대교남단(가상),126.9555404832,37.514527047,"올림픽대로, 흑석동, 비계, 동작구, 서울, 06981, 대한민국"
8427,8427,8427,119000297,20965,동작대교남단(가상),126.9738557064,37.5060421651,"올림픽대로, 사당2동, 비계, 동작구, 서울, 06982, 대한민국"
8428,8428,8428,119900296,20966,청호아파트,126.9636395233,37.5006763616,"서달로2길, 흑석동, 비계, 동작구, 서울, 06982, 대한민국"
8429,8429,8429,119900295,20967,푸르지오후문,126.9643082559,37.5014983973,"114, 흑석한강로, 흑석동, 비계, 동작구, 서울, 06981, 대한민국"
8430,8430,8430,119900294,20968,푸르지오상가,126.9646176567,37.5031591356,"110, 흑석한강로, 흑석동, 비계, 동작구, 서울, 06981, 대한민국"
8431,8431,8431,119900293,20969,흑석한강푸르지오,126.965882301,37.5051427391,"106, 흑석한강로, 흑석동, 비계, 동작구, 서울, 06981, 대한민국"
8432,8432,8432,119900292,20970,흑석동주민센터,126.9664322939,37.5058787238,"흑석동 주민센터, 11, 흑석한강로, 흑석동, 비계, 동작구, 서울, 06982, 대한민국"
8433,8433,8433,119900299,20971,대방중학교,126.914427659,37.4955092178,"대방중학교, 24, 여의대방로10길, 신대방1동, 동작구, 서울, 07435, 대한민국"
8434,8434,8434,119900291,20972,상도감리교회.보건소,126.9413553618,37.5054967336,"상도감리교회, 만양로3길, 노량진1동, 동작구, 서울, 06926, 대한민국"
8435,8435,8435,119900300,20973,수도여고,126.9152566429,37.4936272986,"103동, 여의대방로16길, 신대방2동, 동작구, 서울, 07062, 대한민국"
8436,8436,8436,119900301,20974,동작구민체육센터.기상청,126.9172420906,37.4943059981,"동작소방서, 여의대방로16길, 신대방2동, 동작구, 서울, 07062, 대한민국"
8437,8437,8437,119900302,20975,동작구민체육센터.기상청,126.9171796976,37.4944259995,"동작구민체육센터, 53, 여의대방로16길, 신대방2동, 동작구, 서울, 07062, 대한민국"
8438,8438,8438,119900303,20976,수도여고,126.9152563801,37.4937503172,"103동, 여의대방로16길, 신대방2동, 동작구, 서울, 07062, 대한민국"
8439,8439,8439,119900304,20977,대방중학교,126.9145501131,37.4955238883,"대방중학교, 24, 여의대방로10길, 신대방1동, 동작구, 서울, 07435, 대한민국"
8440,8440,8440,119900305,20978,정금마을,126.9811982705,37.4938940165,"106, 동작대로39가길, 사당2동, 동작구, 서울, 06694, 대한민국"
8441,8441,8441,119900290,20979,경동아파트,126.9537071021,37.509478983,"서울본동초등학교, 노량진로24길, 노량진1동, 동작구, 서울, 06969, 대한민국"
8442,8442,8442,119900289,20980,동양중학교,126.9547514849,37.509157176,"매봉로6길, 노량진1동, 동작구, 서울, 06969, 대한민국"
8443,8443,8443,119900288,20981,극락정사,126.9517981941,37.5080787519,"상도터널, 노량진1동, 동작구, 서울, 06968, 대한민국"
8444,8444,8444,119900286,20983,흑석역,126.9622656782,37.509186066,"101, 흑석로, 흑석동, 비계, 동작구, 서울, 06981, 대한민국"
